,feature,weight
2,其他类型,1.230111213708894
12,犯罪,0.9599468897642636
11,爱情,0.7700651498600876
4,剧情,0.7580394009090228
10,惊悚,0.6899527878926699
9,悬疑,0.5177266888134094
5,动作,0.517047597578364
0,score,0.48996852247831246
8,奇幻,0.433917054614478
6,动画,0.43139473676182377
3,冒险,0.4120622585057474
7,喜剧,0.31545979653218187
19,日本,0.28954376573006124
15,中国香港,0.2266544696538641
31,Daniel,0.20765886605436926
17,德国,0.20687018269250648
24,...,0.20171317232090255
28,Chow,0.18918566430573464
32,David,0.18714053742349548
39,Tom,0.18674920004949694
23,韩国,0.18287318222638735
25,/,0.17791611566470816
21,美国,0.17004151748344404
30,Christopher,0.16743604401170303
36,Nolan   主演:,0.16456763630892252
16,其他国家,0.16437623459924636
13,中国台湾,0.14930421069808594
1,year,0.14725947389598418
20,法国,0.1461524255793521
40,Tony,0.14066626371353894
14,中国大陆,0.1366089002386152
34,Lee   主演:,0.1340529587857047
26,/...,0.13118960406897148
18,意大利,0.1282240068875594
22,英国,0.11484953188621617
27,Cheung,0.10831011523080841
29,Chris,0.09558980314804627
38,Stephen,0.09491067015573879
42,周星驰,0.09380359952433223
37,Peter,0.08042737276355891
33,Hayao,0.07829121729639489
35,Miyazaki   主演:,0.07829121729639489
43,宫崎骏,0.07829121729639489
41,其他导演,0.0
44,导演:,0.0
