,feature,importance
2,其他类型,0.11579729033904332
12,犯罪,0.10910017784855694
11,爱情,0.09069542021156926
1,year,0.08017242422510996
0,score,0.07476405047779484
4,剧情,0.06487304664571994
10,惊悚,0.05847859552442211
3,冒险,0.04124705133163618
9,悬疑,0.03954820867308357
5,动作,0.036704824267720926
25,/,0.030023015441454744
6,动画,0.026386474153689374
8,奇幻,0.022760518750169743
21,美国,0.01824006041044494
24,...,0.017732779074898918
16,其他国家,0.01676309224525296
7,喜剧,0.015234813917895199
15,中国香港,0.012839296703373996
19,日本,0.01142626114937018
22,英国,0.011374138217726114
14,中国大陆,0.007689020479175842
31,Daniel,0.006858552146460232
23,韩国,0.006368408322199179
13,中国台湾,0.006211241551280751
20,法国,0.005813916685078127
32,David,0.0057298722876293244
18,意大利,0.005566019654674019
26,/...,0.005560294469671042
39,Tom,0.005015962230620315
34,Lee   主演:,0.004778252892559943
27,Cheung,0.004542355605856898
35,Miyazaki   主演:,0.004539076015819699
17,德国,0.004419590849886121
33,Hayao,0.004085680563333132
28,Chow,0.0036837183443675097
38,Stephen,0.0036510505624667575
30,Christopher,0.0036060792789257405
40,Tony,0.0035617959311038173
29,Chris,0.0035523400573197798
42,周星驰,0.0032503744273791745
43,宫崎骏,0.0032494113096110102
36,Nolan   主演:,0.0028108745209016197
37,Peter,0.0012945722047466763
41,其他导演,0.0
44,导演:,0.0
